"Position","Track Name","Artist","Streams","URL","Country"
"72","Rumors (feat. Cardi B)","Lizzo","316586","https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s","AUS"
"73","you broke me first","Tate McRae","316078","https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR","AUS"
"74","Cover Me In Sunshine","P!nk","315335","https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m","AUS"
"75","Before You Go","Lewis Capaldi","314409","https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP","AUS"
"76","On My Knees","RÃœFÃœS DU SOL","312803","https://open.spotify.com/track/7ABUiQBM8cjktnp6QLTTaT","AUS"
"77","love nwantiti (feat. Dj Yo! & AX'EL) - Remix","CKay","312170","https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU","AUS"
"78","What A Time (feat. Niall Horan)","Julia Michaels","309763","https://open.spotify.com/track/5WtfUKzXircvW8l5aaVZWT","AUS"
"79","Circles","Post Malone","309529","https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb","AUS"
"80","Fly Away","Tones And I","306744","https://open.spotify.com/track/2zBDKzqa6sdxeI0fC6OWIC","AUS"
"81","No Role Modelz","J. Cole","305535","https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8","AUS"
"82","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","304118","https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY","AUS"
"83","Heartbreak Anthem (with David Guetta & Little Mix)","Galantis","302623","https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP","AUS"
"84","Ain't Shit","Doja Cat","301689","https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm","AUS"
"85","Perfect","Ed Sheeran","301004","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","AUS"
"86","Dance Monkey","Tones And I","298987","https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30","AUS"
"87","family ties (with Kendrick Lamar)","Baby Keem","298015","https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN","AUS"
"88","Shallow","Lady Gaga","293936","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","AUS"
"89","Your Love (9PM)","ATB","292492","https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx","AUS"
"90","Dark Red","Steve Lacy","292378","https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk","AUS"
"91","Love Tonight - Edit","Shouse","292112","https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP","AUS"
"92","Party In The U.S.A.","Miley Cyrus","291597","https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr","AUS"
"93","Sweater Weather","The Neighbourhood","289735","https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6","AUS"
"94","Smells Like Teen Spirit","Nirvana","288225","https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf","AUS"
"95","Fancy Like","Walker Hayes","287339","https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE","AUS"
"96","Be Alright","Dean Lewis","282538","https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy","AUS"
"97","Martin & Gina","Polo G","282533","https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ","AUS"
"98","Champagne Poetry","Drake","281880","https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk","AUS"
"99","Chosen (feat. Ty Dolla $ign)","Blxst","281878","https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ","AUS"
"100","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money","281672","https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX","AUS"
"101","Goosebumps - Remix","Travis Scott","280965","https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9","AUS"
"102","She Knows (feat. Amber Coffman & Cults)","J. Cole","277173","https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW","AUS"
"103","Khe Sanh - 2011 Remastered","Cold Chisel","277024","https://open.spotify.com/track/0frIZMaQwtdV4Ee8nhB1te","AUS"
"104","Youngblood","5 Seconds of Summer","272346","https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE","AUS"
"105","Counting Stars","OneRepublic","264725","https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1","AUS"
"106","Dancing On My Own","Calum Scott","263876","https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ","AUS"
"107","favorite crime","Olivia Rodrigo","263175","https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8","AUS"
"108","My Happiness","Powderfinger","261058","https://open.spotify.com/track/2pxxVkNhrRST8fpgA12ru8","AUS"
"109","Go Your Own Way - 2004 Remaster","Fleetwood Mac","259230","https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa","AUS"
